subject,predicated,object
has_Undernourichment,type,ObjectProperty
Agri_export_subsidies,subClassOf,Red_Indicators
N866563cc2a1b4ef5993403b383f905ad,type,Restriction
Nfc943a495a6c4c0f81a8f72827df0771,type,Restriction
N1d6b2fcc3d5c43fb8f9edc904c3946a1,rest,nil
Na0cba11b4e674940ace452b06c3b62c8,cardinality,1
Financial_account_access,subClassOf,Green_Indicators
has_Inclusive_intl_participation,range,Inclusive_intl_participation
ICT_skills,type,Class
Life_On_Land,subClassOf,Nbe7cb782e9824f5a808110d583da4fbb
Water_ecosystems,label,Water_ecosystems
N1b9f0b29de7f4c65842a7c4c26d89542,rest,nil
Goal_7,Concept,Affordable_and_Clean_Energy
has_Air_pollution_deaths,type,ObjectProperty
Na952a8fcab3d47ad823081afd91ffa86,onProperty,has_Protected_biodiversity_sites
has_Financial_account_access,type,ObjectProperty
has_Food_price_anomaly,domain,Zero_Hunger
N383154cba0aa4dffb2b077b6c010384d,onClass,Local_risk_Mgmt
has_Marine_ecosystems,label,Marine_ecosystems
has_edu_for_sust_development,label,edu_for_sust_development
Peace_Justice_and_Strong_Institutions,subClassOf,N68cf8baa552b4eb3a27feeb96c3d81fc
N0809baf80d7a4533b28e39564a461a0c,unionOf,N31d229be9d444e289bd444b70d4da223
has_Red_List_Index,type,ObjectProperty
has_Protected_biodiversity_sites,type,ObjectProperty
Emergency_preparedness,type,Class
Ne0eab10cae3a4079b2d9136e4892a974,onProperty,has_Wildlife_poaching
Passenger_freight_volumes,type,Class
Nd18cb6d7b55c4cbfb957c8e475de547b,onClass,Qualified_teachers
Urban_air_pollution,type,Class
Nf9856d65f4b54245ad9c2bfe11f913d8,onClass,Forced_marriage
Health_workers,subClassOf,Yellow_Indicators
Planned_migration_policy,subClassOf,Red_Indicators
Nf77c647c14d04610aadfcdaa55e84607,type,Restriction
Public_discrimination,type,Class
has_Poverty_reduction_prog,label,Poverty_reduction_prog
N15a5fb8b09d741ceb9451302d9601afc,onProperty,has_Human_rights_institutions
Nbebd74415ccf49f988345167fed73e87,type,Restriction
Nb46f50123b8d4cab96032ee0ef35b3d1,type,Restriction
Red_List_Index,subClassOf,Green_Indicators
has_Financial_soundness,type,ObjectProperty
has_Development_assistance,type,ObjectProperty
has_Small_scale_industry_value,type,ObjectProperty
Small_scale_farmer,type,Class
N542167632131432289f042496c23e087,onProperty,has_Support_sust_production
Nb355422b1cba48b9a1036e053b4a5328,cardinality,1
has_Journalist_media_killings,type,ObjectProperty
Maternal_mortality,label,Maternal_mortality
Urban_planning,subClassOf,Red_Indicators
has_Safe_drinking_water,label,Safe_drinking_water
has_Income_growth_inequality,label,Income_growth_inequality
Foreign_Direct_Investment,label,Foreign_Direct_Investment
Passenger_freight_volumes,label,Passenger-freight_volumes
has_Urban_slum_population,range,Urban_slum_population
has_Healthcare_coverage,type,ObjectProperty
has_Forced_marriage,label,Forced_marriage
Na0cba11b4e674940ace452b06c3b62c8,onClass,Sustainable_production
N1b30c55a4b7d4c2f85a7701b6527a2c8,onClass,Vaccine_coverage
Industry_Innovation_and_Infrastructure,subClassOf,N9b60462f5bee40eb935bae7254e77cd6
has_Inflows_to_poverty_red,label,Inflows_to_poverty_red
Small_scale_industry_credit,type,Class
National_statistical_plans,type,Class
Responsible_Consumption_and_Production,type,Class
N0ead90e990404480b2af87413e4b619e,onClass,Material_footprint
has_Forest_area,label,Forest_area
Energy_service_investment,type,Class
has_Implementing_intl_sea_law,range,Implementing_intl_sea_law
has_Disaster_losses,type,ObjectProperty
has_Govt_expenditure_in_budgets,domain,Peace_Justice_and_Strong_Institutions
Tracking_gender_equality,type,Class
Na08553ae0b9b4750af0bed71cded8fbf,onProperty,has_Income_growth_inequality
Life_On_Land,subClassOf,Sustainable_Development_Goals
Neglected_tropical_disease,label,Neglected_tropical_disease
Nf03cf040d2c546ec910342b1e2b07514,onProperty,has_Integrated_water_Mgmt
has_Solid_waste_management,label,Solid_waste_management
has_Marine_pollution,label,Marine_pollution
has_Access_to_clean_fuels,type,ObjectProperty
Clean_Water_and_Sanitation,subClassOf,Ncf1db9b246264fe88d01ebe041bf78c5
Income_growth_inequality,label,Income_growth_inequality
Peace_Justice_and_Strong_Institutions,subClassOf,N71ff3c46c42f4865a387c5b1d3aa428d
has_Sustainable_production,range,Sustainable_production
has_Discriminatory_practices,type,ObjectProperty
Hazardous_waste_agreement,subClassOf,Green_Indicators
N6e1b6f7eae874af4b1fadb8d9c88772d,onClass,Informal_employment
has_Sanitation__handwashing,label,Sanitation__handwashing
Tracking_gender_equality,subClassOf,Red_Indicators
Protected_biodiversity_sites,label,Protected_biodiversity_sites
Violence_against_children,label,Violence_against_children
Sustainable_Cities_and_Communities,subClassOf,N6655b3c6b24d4d348d17f305bf28ba95
has_National_sust_plans,label,National_sust_plans
has_Health_workers,label,Health_workers
Water_ecosystems,subClassOf,Red_Indicators
Partnerships_for_The_Goals,subClassOf,N38fe181fe9394e46809f42342b3980a6
N78d4d3cbe3c64cb5833fb0435ff62b92,onProperty,has_Disaster_deaths_injury
N3dfe0f6243e84226ae815f7ece56d0be,type,Restriction
Nc1e33eaf44b44cd19f0361f7b1990d47,onProperty,has_Non_communicable
has_Renewable_energy,range,Renewable_energy
has_Govt_revenue_GDP,type,ObjectProperty
Hazardous_waste,type,Class
Peace_Justice_and_Strong_Institutions,subClassOf,N21032fb37034425697c356ed822622b9
Nd21cda2040704cfb9e77fcfb9c03de0d,onClass,Equal_intl_participation
Health_expenditure,subClassOf,Red_Indicators
Pre_primary_participation,subClassOf,Yellow_Indicators
has_Integrated_water_Mgmt,range,Integrated_water_Mgmt
has_Sustainable_lifestyles,range,Sustainable_lifestyles
N7e87f7136ea74a8a8a9be5a39e31b961,onClass,Genetic_resources
N51aabe5bfdab46d5bc6054c317136564,cardinality,1
N697acde9fa5b42fd900d2287ec16e92a,onClass,Labour_share_of_GDP
has_Remittance_costs,type,ObjectProperty
N27edecba17ac4d08aac3130b674d83fd,onProperty,has_ODA_for_forests
ODA_for_scholarships,type,Class
Zero_Hunger,subClassOf,N6503a55f341f4e0098baf30e529e88a2
Inclusive__safe_school,type,Class
has_Violence_by_non_partner,label,Violence_by_non_partner
N31e65be5cb654a10a9e6c7f774f277d0,type,Restriction
N789e6a7bbe6a438ca165bc2e1a2e7a1a,onClass,Time_on_domestic_work
N8f40f8510e66462f89c2c7c55b34d191,cardinality,1
N6ed2ebd1fa3842e6b1cf2ef1dedad847,onClass,Safe_city_spaces
has_Qualified_teachers,label,Qualified_teachers
has_Wildlife_poaching,type,ObjectProperty
Zero_Hunger,subClassOf,N0cd64e700fc74edf96a998ec2c1bf20a
has_Disaster_losses,label,Disaster_losses
N2b69c1d1f5a04f26ae6ea75ff9216d73,cardinality,1
Nf372d4f0f38047e59527a99bde9b389c,onClass,Sanitation__handwashing
Support_sust_production,subClassOf,Red_Indicators
Protected_biodiversity_sites,type,Class
N46da9eb40fc84700bb122386b9e86b25,onClass,National_statistical_plans
N226f9d327aa84218a17857f3f4cd94f5,onProperty,has_Hepatitis_B_incidence
has_Small_scale_industry_credit,range,Small_scale_industry_credit
Quality_Education,subClassOf,Nd18cb6d7b55c4cbfb957c8e475de547b
has_Frameworks_for_gender,domain,Gender_Equality
Cultural_heritage,subClassOf,Red_Indicators
Reading_proficiency,label,Reading_proficiency
Nf582dc8a10184cfcb623628af8e5c8a6,onProperty,has_Open_city_spaces
has_Rural_road_access,range,Rural_road_access
Pre_primary_participation,type,Class
Nabb0127435584cc2a102889c74ba65e7,type,Restriction
Public_information_access,subClassOf,Green_Indicators
has_Road_traffic_injuries,range,Road_traffic_injuries
has_Women_in_parliament,range,Women_in_parliament
N3f6436ccd7fb40cb98af5c796d1e9abc,cardinality,1
Nb22a8a7df5c444c694f8887c88e62619,onProperty,has_Integration_climate_policies
has_Rural_road_access,domain,Industry_Innovation_and_Infrastructure
N710d127041644884a623365876fd1c9d,onClass,Unsentenced_detainees
N20294a95fe5c48c8883d41f91970ba7b,type,Restriction
has_Child_labour,range,Child_labour
has_Basic_services,range,Basic_services
Climate_change_education,type,Class
has_Health_staff_at_births,label,Health_staff_at_births
N89d169e0f2774c088804c6b591621c4e,onProperty,has_ODA_for_biodiversity
Clean_Water_and_Sanitation,label,Clean_Water_and_Sanitation
Nff2ef4df5d424c65aa8c3d13567020bc,type,Restriction
Healthcare_coverage,type,Class
has_Illegal_unregulated_fishing,type,ObjectProperty
Illicit_financial_flows,label,Illicit_financial_flows
Nc34fa6adc35d4cb6bfe6923ea72adbe5,onClass,Child_stunting
N77e5db875f2e4a1b8ae79a917fdedaef,onProperty,has_Biodiversity_planning
has_Implementing_intl_sea_law,type,ObjectProperty
Responsible_Consumption_and_Production,subClassOf,N5be17281eb2f4de4a774fb5fe78d3d7d
has_Integrated__risk_Mgmt,domain,Sustainable_Cities_and_Communities
has_Public_information_access,range,Public_information_access
Na0aa8e67238743a9914ff23e67217cba,type,Restriction
Alcohol_intake,type,Class
Small_scale_farmer,subClassOf,Red_Indicators
Goal_9,Concept,Industry_Innovation_and_Infrastructure
has_Tariff_rates,range,Tariff_rates
Neonatal_mortality,type,Class
N043fa9690bf0441096710b5bf0d297f1,onClass,Domestic_consumption
N1b09fac222fd457f9e4df9839efb875e,onClass,Literacy__numeracy
Ndca8785d5b2240b99242c38eb8bdb6ba,type,Restriction
N5a93ababf92b457a91febdb7bf41fe52,cardinality,1
Nb46f50123b8d4cab96032ee0ef35b3d1,cardinality,1
has_Neonatal_mortality,type,ObjectProperty
Yellow_Indicators,type,Class
Unsentenced_detainees,type,Class
N499a2a4c25114918af4e8d1ca16be9fa,type,Restriction
N3c63923163d3448d869e16ac5f994f96,type,Restriction
has_Women_in_parliament,type,ObjectProperty
N9bb6a744af874674b5240ef943ac0396,cardinality,1
Census_completeness,type,Class
Climate_Action,subClassOf,N4b778f17d8834f4ba99430eee95b9845
has_ICT_skills,range,ICT_skills
Neaaf8554ea734a02ab222bb146098ae0,onClass,Research_for_marine_tech
has_Passenger_freight_volumes,domain,Industry_Innovation_and_Infrastructure
Urban_slum_population,subClassOf,Green_Indicators
has_Genital_mutilation,type,ObjectProperty
has_CO_two_emissions_intensity,label,CO_two_emissions_intensity
has_Child_labour,domain,Decent_Work_and_Economic_Growth
N27edecba17ac4d08aac3130b674d83fd,onClass,ODA_for_forests
has_Safe_city_spaces,domain,Sustainable_Cities_and_Communities
R_and_D_researchers,type,Class
N704688f0e7cf4944a6615f9d390eb936,onClass,Pop_less_than_Fifty_percent_median_income
Inflows_to_poverty_red,subClassOf,Red_Indicators
N6cbf5e5c049849ddbe6f2369546d3517,onClass,Manufacturing_employment
has_Safe_drinking_water,range,Safe_drinking_water
member,subClassOf,Group
Partnerships_for_The_Goals,subClassOf,Nbb2e0bcf5ee7490bab21f2122e8a7730
has_Genital_mutilation,domain,Gender_Equality
Nf03cf040d2c546ec910342b1e2b07514,type,Restriction
N11d4c92f9b384be4b94b574c0c202e58,onProperty,has_Road_traffic_injuries
has_Cultural_heritage,label,Cultural_heritage
N54fbf57c9e644a16b67bc1ed46d2d956,onProperty,has_Fossil_fuel_subsidies
has_Tuberculosis_incidence,domain,Good_health_and_well_being
has_Sustainable_production,label,Sustainable_production
Hepatitis_B_incidence,label,Hepatitis_B_incidence
Nd9f08db3d7a5499a8b28feb7c059e839,onProperty,has_SDG_support
has_Frameworks_for_gender,label,Frameworks_for_gender
has_ODA_from_OECD,domain,Partnerships_for_The_Goals
has_Violence_against_children,label,Violence_against_children
CO_two_emissions_intensity,label,CO_two_emissions_intensity
Sustainable_Development_Goals,member,Zero_Hunger
N09197b97e696487db6152958711f4ff6,type,Class
Na0cba11b4e674940ace452b06c3b62c8,type,Restriction
Local_breed_extinction,label,Local_breed_extinction
N11d4c92f9b384be4b94b574c0c202e58,cardinality,1
Ne61bbdc171ed4750888b93fde74379b5,onClass,Renewable_energy
has_Genetic_resources,domain,Zero_Hunger
N1192f37823ba453aaf3ac5c60fc8aab4,cardinality,1
N711e424934864431bb1a927a1dc75287,onProperty,has_Freshwater_stress
has_Unsentenced_detainees,range,Unsentenced_detainees
Peace_Justice_and_Strong_Institutions,subClassOf,Nbebd74415ccf49f988345167fed73e87
N2d889bf773d14db2921c806eff8b389f,onProperty,has_Genital_mutilation
Quality_Education,subClassOf,Ne6f423be8797441b93a251a9a60d7026
has_Agri_export_subsidies,type,ObjectProperty
has_Invasive_alien_species,label,Invasive_alien_species
Nc437487918c144839480d962ef678b11,onProperty,has_Manufacturing_value
Partnerships_for_The_Goals,subClassOf,N866563cc2a1b4ef5993403b383f905ad
N6ed2ebd1fa3842e6b1cf2ef1dedad847,cardinality,1
No_Poverty,subClassOf,N5e3a9bfa8390459c8411ba750641e9f7
has_Local_sanitation_Mgmt,range,Local_sanitation_Mgmt
has_Development_assistance,range,Development_assistance
Marine_ecosystems,label,Marine_ecosystems
Nb44d66d08cc046428a9bf0b667b9ea23,rest,N393fa8150a5f4709bad1fa4f8c22550c
New_HIV_infections,label,New_HIV_infections
N7e87f7136ea74a8a8a9be5a39e31b961,cardinality,1
N7b03f9d53afb4a9cbe00f816590a0d08,type,Restriction
has_Remittance_costs,range,Remittance_costs
N80d5452cfd69435b85ef7b112619b04b,onProperty,has_Tourism_GDP_contribution
Ncd8021040f444ca5bb3520967adb6d3d,unionOf,Nf150eac1496849648580ad40df010a27
has_Public_safety,range,Public_safety
Society_partnerships,type,Class
N9be5ae06971e416baf5c513977d02993,onProperty,has_Birth_registration
has_Reading_proficiency,label,Reading_proficiency
Reduce_Inequalities,subClassOf,Sustainable_Development_Goals
Mobile_network_coverage,type,Class
Internet_use,type,Class
has_Equal_intl_participation,type,ObjectProperty
Safe_drinking_water,subClassOf,Yellow_Indicators
Quality_Education,type,Class
has_Domestic_taxes,domain,Partnerships_for_The_Goals
N820016514cbf4525bbf8824afb862abe,cardinality,1
has_Clean_energy_investment,domain,Affordable_and_Clean_Energy
has_GDP_per_capita_growth,range,GDP_per_capita_growth
Policy_for_sust_development,subClassOf,Red_Indicators
has_Research_for_marine_tech,label,Research_for_marine_tech
Hourly_earnings,type,Class
Goal_12,Concept,Responsible_Consumption_and_Production
N76dfa42d108a4987b730d7bf18ecfa77,cardinality,1
N6655b3c6b24d4d348d17f305bf28ba95,onClass,Integrated__risk_Mgmt
has_Reading_proficiency,domain,Quality_Education
N86888339cb5e46cd9520e216d73ac7ea,onClass,Electricity_access
Frameworks_for_gender,label,Frameworks_for_gender
Nf77c647c14d04610aadfcdaa55e84607,onProperty,has_Aid_for_Trade
Malaria_incidence,type,Class
Aid_for_Trade,label,Aid_for_Trade
Clean_Water_and_Sanitation,subClassOf,N7f784aedb139400dae4a2a0c982e4b68
Peace_Justice_and_Strong_Institutions,subClassOf,Na02d771fbc024ba3b1d9e93d6947f285
has_Solid_waste_management,range,Solid_waste_management
Access_to_clean_fuels,subClassOf,Green_Indicators
Nd691c50dbbda4438a8a7cf70116339a4,cardinality,1
Nfc447dec38f9452daf9b402bf661d62a,onProperty,has_Govt_revenue_GDP
has_Local_disaster_risk,type,ObjectProperty
has_Statistical_legislation,range,Statistical_legislation
ODA_for_scholarships,subClassOf,Green_Indicators
Reduce_Inequalities,type,Class
has_Victim_reports_of_crime,range,Victim_reports_of_crime
has_Freshwater_stress,domain,Clean_Water_and_Sanitation
has_Mountain_biodiversity,range,Mountain_biodiversity
N68037476ff16433bab48aa42fea0c527,type,Restriction
Literacy__numeracy,type,Class
Integrated__risk_Mgmt,subClassOf,Yellow_Indicators
Bribery_in_business,type,Class
N36a33004e1c44a6fa7bc10215bc17fad,onClass,GDP_growth_per_employed
N09f14827689c4f4d8020494010519db3,onProperty,has_Sustainable_urbanization
N3e84f9dd79474a0aa100f1bb3b25d074,cardinality,1
Goal_17,Concept,Yellow_Indicators
N96e68d9f31db43138795620bf6741dc9,type,Restriction
Time_on_domestic_work,type,Class
Sustainable_Development_Goals,member,Climate_Action
has_Disaster_risk_reduction,range,Disaster_risk_reduction
Nf4fe0d2eb2d8406d88d3aca4dd081014,onClass,Access_further_education
has_Child_stunting,domain,Zero_Hunger
has_Society_partnerships,label,Society_partnerships
Ne9ab40f04b294549a84befce6a04946e,cardinality,1
Victim_reports_of_crime,subClassOf,Red_Indicators
N6655b3c6b24d4d348d17f305bf28ba95,cardinality,1
has_Agri_orientation_index,label,Agri_orientation_index
has_Small_scale_industry_credit,type,ObjectProperty
Global_food_loss,type,Class
has_Treated_wastewater,range,Treated_wastewater
Family_planning,subClassOf,Yellow_Indicators
Ne8102076348849dc97fb759c3f4a9b19,cardinality,1
has_Illegal_unregulated_fishing,label,Illegal_unregulated_fishing
Domestic_consumption,label,Domestic_consumption
Remittance_costs,label,Remittance_costs
has_Census_completeness,type,ObjectProperty
Institutional_representation,label,Institutional_representation
has_Freshwater_stress,label,Freshwater_stress
has_Local_disaster_risk,label,Local_disaster_risk
Literacy__numeracy,subClassOf,Green_Indicators
has_Sustainable_tourism,domain,Responsible_Consumption_and_Production
has_Emergency_preparedness,label,Emergency_preparedness
Domestic_taxes,type,Class
has_Passenger_freight_volumes,type,ObjectProperty
N02906aa6de304aa988e537e962de88ae,onClass,Poverty_reduction_prog
N789e6a7bbe6a438ca165bc2e1a2e7a1a,onProperty,has_Time_on_domestic_work
has_Local_breed_extinction,type,ObjectProperty
Reduce_Inequalities,subClassOf,N18931c9696084cbea781d3df6c1639f3
Na9462ecc1fdc4710afd2e5a68f96ea1c,type,Restriction
has_Substance_use_treatment,label,Substance_use_treatment
Nbe5500b100b64ade9d50f5ebd8bfa93e,cardinality,1
Green_Indicators,label,Green_Indicators
N68037476ff16433bab48aa42fea0c527,onProperty,has_Climate_capacity_building
has_Society_partnerships,domain,Partnerships_for_The_Goals
Nabb0127435584cc2a102889c74ba65e7,onProperty,has_Migration_recruitment_cost
Nb8a687b7ddd34a7d92cd0a0d21a94454,onProperty,has_Inflows_to_poverty_red
N68cf8baa552b4eb3a27feeb96c3d81fc,onClass,Human_trafficking
Nc3f5e5db825c48ca9b96763bd00548f0,onClass,Family_planning
Unemployment_rate,subClassOf,Green_Indicators
Nf53c90a16c7744d0b2f0aa331610c25e,onProperty,has_Science_tech_cooperation
N961e7659fa2e4f89ad151ce96ca3f6b4,cardinality,1
has_Financial_account_access,domain,Decent_Work_and_Economic_Growth
Domestic_consumption,type,Class
has_Green_Climate_Fund,type,ObjectProperty
has_Female_land_ownership,label,Female_land_ownership
N5ec6fbfa4bed457197194724d966a441,onClass,Passenger_freight_volumes
N5ec6fbfa4bed457197194724d966a441,type,Restriction
N03561d85e82a4857b5b62e3e755ac852,onClass,Solid_waste_management
Tariff_rates,label,Tariff_rates
has_Statistical_capacity_resource,range,Statistical_capacity_resource
N6b9ea41485e649edb87fcf8d1a88476d,type,Restriction
Reduce_Inequalities,subClassOf,N03256c78d1f844ea8a745f12d7ce4b3a
Debt_service,label,Debt_service
has_National_statistical_plans,domain,Partnerships_for_The_Goals
Public_safety,subClassOf,Red_Indicators
N5be17281eb2f4de4a774fb5fe78d3d7d,cardinality,1
Local_sanitation_Mgmt,type,Class
ODA_from_OECD,label,ODA_from_OECD
Nae2c925c20d144689bd47901d15a38c2,onClass,Climate_change_education
Nf83ba3fbee41453eb9af2ec5a894818f,onClass,Fish_stocks_levels
Census_completeness,label,Census_completeness
Disaster_deaths_injury,type,Class
has_Climate_change_education,type,ObjectProperty
has_Birth_registration,domain,Peace_Justice_and_Strong_Institutions
N7b1f62c58c4043be9064cf3e6600a0dd,type,Restriction
N23294e08c6544a69aa064af9f5f19194,onClass,Financial_services_access
Sustainable_Cities_and_Communities,subClassOf,N03561d85e82a4857b5b62e3e755ac852
Ncdb1f634a12e49f5841d67191b98e9b9,onClass,Transboundary_cooperation
has_ODA_for_biodiversity,label,ODA_for_biodiversity
N710d127041644884a623365876fd1c9d,onProperty,has_Unsentenced_detainees
Discriminatory_practices,label,Discriminatory_practices
has_Pre_primary_participation,range,Pre_primary_participation
Small_scale_industry_value,type,Class
has_Rural_road_access,label,Rural_road_access
has_ODA_to_health,label,ODA_to_health
has_Safe_drinking_water,type,ObjectProperty
has_New_HIV_infections,label,New_HIV_infections
N09f14827689c4f4d8020494010519db3,cardinality,1
Ne2a9501392d24fe4aa756c813466e073,cardinality,1
has_Children_on_track,label,Children_on_track
has_Pop_less_than_Fifty_percent_median_income,domain,Reduce_Inequalities
Good_health_and_well_being,subClassOf,Nfa2fed19ccfb4a6b9ed133dfee824f41
Integration_climate_policies,type,Class
N38ab8854245b41b093b39d9e5fe3faad,type,Restriction
has_Renewable_energy,domain,Affordable_and_Clean_Energy
N6ed2ebd1fa3842e6b1cf2ef1dedad847,onProperty,has_Safe_city_spaces
N19471b779985408199bc301b85cfd65f,cardinality,1
N41042c5c7f6c49ab8c57756a304544d0,onClass,Tuberculosis_incidence
has_Suicide_mortality,label,Suicide_mortality
N1c9eb92f75f440308d5e35deb5d3b5fb,type,Restriction
Child_stunting,type,Class
Electricity_access,type,Class
has_Sexual_violence,domain,Peace_Justice_and_Strong_Institutions
Treated_wastewater,type,Class
N46da9eb40fc84700bb122386b9e86b25,type,Restriction
Ne867c9b9bf8a4260bc2243a646e25850,type,Restriction
N08fa28cb23184f679dea3dc21b3bcfe3,type,Restriction
Good_health_and_well_being,subClassOf,N967de7956dae4719ae115f574e6195aa
Ocean_acidification,label,Ocean_acidification
has_Birth_registration,type,ObjectProperty
has_ODA_for_scholarships,range,ODA_for_scholarships
National_poverty_lines,type,Class
has_Child_wasting_or_obesity,type,ObjectProperty
Social_protection,subClassOf,Green_Indicators
Partnerships_for_The_Goals,subClassOf,N920c7680412549cb92e3acbc2e06088c
has_Pop_less_than_Fifty_percent_median_income,range,Pop_less_than_Fifty_percent_median_income
R_and_D_spending,subClassOf,Green_Indicators
Govt_spending,type,Class
Partnerships_for_The_Goals,subClassOf,N13d79d4f0e1e478b84621be190b46eb6
Sustainable_Cities_and_Communities,subClassOf,N712f2a91b1754e39892e74a1fab49c27
Renewable_energy,label,Renewable_energy
Female_land_ownership,subClassOf,Yellow_Indicators
has_Marine_pollution,domain,Life_Below_Water
Industry_Innovation_and_Infrastructure,subClassOf,N5698fd44f9a54e8f9b22acb46549abd8
N891abd115e424d4ab64e8f76fccf3ff9,cardinality,1
Ne42e0f03ffc44e33a4ab0cfc1e83e6d3,onProperty,has_Domestic_taxes
has_Informal_employment,type,ObjectProperty
Nd5f024d488114f5f9492e0469195152f,onProperty,has_Public_service_satisfaction
has_Financial_account_access,range,Financial_account_access
has_Invasive_alien_species,range,Invasive_alien_species
Neonatal_mortality,subClassOf,Green_Indicators
Air_pollution_deaths,subClassOf,Green_Indicators
has_Disaster_deaths,range,Disaster_deaths
Compliance_labour_rights,label,Compliance_labour_rights
has_Unintentional_poisoning,label,Unintentional_poisoning
N60cbeb04b1e3461f8d640fbee5274e1f,cardinality,1
has_Hazardous_waste,type,ObjectProperty
Sustainable_tourism,type,Class
Society_partnerships,subClassOf,Red_Indicators
N73fd66a249734ff889fdb2749ac16d57,type,Restriction
has_Protected_biodiversity_sites,domain,Life_On_Land
Marine_pollution,label,Marine_pollution
Nd8fd6dabd6e2498dac14e81daad364d2,type,Restriction
has_Child_mortality,label,Child_mortality
has_New_HIV_infections,domain,Good_health_and_well_being
has_Inflows_to_poverty_red,domain,No_Poverty
ODA_for_infrastructure,subClassOf,Yellow_Indicators
Research_for_marine_tech,type,Class
Aid_for_Trade,type,Class
has_Substance_use_treatment,range,Substance_use_treatment
Nb8a687b7ddd34a7d92cd0a0d21a94454,onClass,Inflows_to_poverty_red
has_Remittance_costs,label,Remittance_costs
has_Financial_soundness,domain,Reduce_Inequalities
N17466862601f4f7c81d03f24dad3dcb1,onClass,Conflict_related_deaths
N11d4c92f9b384be4b94b574c0c202e58,onClass,Road_traffic_injuries
Victim_reports_of_crime,label,Victim_reports_of_crime
Green_Indicators,type,Class
has_Sustainable_production,type,ObjectProperty
Ocean_acidification,type,Class
Institutional_representation,type,Class
Nabb0127435584cc2a102889c74ba65e7,onClass,Migration_recruitment_cost
has_Compliance_labour_rights,domain,Decent_Work_and_Economic_Growth
Life_On_Land,subClassOf,N84b85566031548dda871014018dd8cbb
Nabb0127435584cc2a102889c74ba65e7,cardinality,1
has_ODA_to_agri,domain,Zero_Hunger
Nae2c925c20d144689bd47901d15a38c2,cardinality,1
N78d4d3cbe3c64cb5833fb0435ff62b92,cardinality,1
Equal_intl_participation,subClassOf,Green_Indicators
N9f6fe89c1f3b4452ba303c56d0593000,type,Restriction
has_Inclusive__safe_school,domain,Quality_Education
Nf0f6f21beb1242ab8731060aa01a0d81,cardinality,1
National_poverty,subClassOf,Yellow_Indicators
has_Income_growth_inequality,domain,Reduce_Inequalities
edu_for_sust_development,label,edu for_sust_development
Disaster_losses,subClassOf,Green_Indicators
Bribery_in_public,type,Class
Sustainable_tourism,label,Sustainable_tourism
N08fa28cb23184f679dea3dc21b3bcfe3,onProperty,has_High_tech_industry_value
Alcohol_intake,label,Alcohol_intake
Forest_area,label,Forest_area
N37276e4595f2443d84bd081e6d9b9029,cardinality,1
Nf150eac1496849648580ad40df010a27,first,Responsible_Consumption_and_Production
Informal_employment,type,Class
Decent_Work_and_Economic_Growth,subClassOf,N9bb6a744af874674b5240ef943ac0396
N145014458a834c9d90e48bef14b279ed,cardinality,1
Zero_Hunger,label,Zero_Hunger
has_Material_footprint,range,Material_footprint
Neglected_tropical_disease,subClassOf,Green_Indicators
Access_further_education,label,Access_further_education
Nf53c90a16c7744d0b2f0aa331610c25e,cardinality,1
has_Disaster_deaths,type,ObjectProperty
has_Domestic_consumption,label,Domestic_consumption
Pop_less_than_Fifty_percent_median_income,subClassOf,Red_Indicators
Sustainable_Development_Goals,member,Life_On_Land
N3e4746581f5e4f73accbfd3c687af912,type,Restriction
has_Development_assistance,domain,Reduce_Inequalities
has_Sustainable_tourism_jobs,type,ObjectProperty
Adolescent_births,label,Adolescent_births
Nade67e07d1f447f289a87a25e9269517,onProperty,has_Small_scale_farmer
Goal_5,Concept,Gender_Equality
has_SDG_support,domain,Partnerships_for_The_Goals
N00086603ee3d4f359f53c28820959c1e,type,Restriction
has_Emergency_preparedness,range,Emergency_preparedness
has_National_poverty_lines,range,National_poverty_lines
N967de7956dae4719ae115f574e6195aa,cardinality,1
Local_breed_extinction,subClassOf,Green_Indicators
Affordable_and_Clean_Energy,subClassOf,N43052178a53d4b0b9cb856a49ca1540d
Ncb7fcd4e3ee045de9156dafb61601121,onClass,Internet_use
has_National_poverty_lines,type,ObjectProperty
,type,Ontology
Planned_migration_policy,label,Planned_migration_policy
Forced_marriage,label,Forced_marriage
has_Planned_migration_policy,type,ObjectProperty
N71ff3c46c42f4865a387c5b1d3aa428d,cardinality,1
has_Genetic_resource_sharing,type,ObjectProperty
N9d3ba3194e254ff6a1e6c3d792a8f13d,type,Restriction
N6de0d23e5e5b4223a020323235fe097f,cardinality,1
Ncb6010ece10e42e1b73fb076fe98e41b,onClass,Homicides_rate
N900e7837b3d744348997d3751c25605b,cardinality,1
N6cbf5e5c049849ddbe6f2369546d3517,cardinality,1
N900e7837b3d744348997d3751c25605b,type,Restriction
N6cbf5e5c049849ddbe6f2369546d3517,type,Restriction
has_Support_for_Mgmt_plans,range,Support_for_Mgmt_plans
has_Small_scale_industry_value,domain,Industry_Innovation_and_Infrastructure
N00086603ee3d4f359f53c28820959c1e,onClass,Women_in_management
has_Malaria_incidence,label,Malaria_incidence
N71ff3c46c42f4865a387c5b1d3aa428d,onClass,Bribery_in_business
Emergency_preparedness,label,Emergency_preparedness
has_Urban_planning,label,Urban_planning
Red_Indicators,label,Red_Indicators
Nfebdc4e4fe114f4fa18652e00a299836,cardinality,1
